mal_id,title,title_english,title_japanese,title_synonyms,year,season,season_label,score,scored_by,rank,popularity,members,favorites,episodes,type,status,airing,approved,duration,rating,source,broadcast,aired_from,aired_to,trailer_url,is_hentai,is_japanese,studios,studios_count,producers,producers_count,licensors,licensors_count,genres,genres_count,themes,themes_count,demographics,demographics_count,synopsis_short,background_short,url
59986,Grand Blue Season 2,Grand Blue Dreaming Season 2,ぐらんぶる Season 2,,2025,summer,Summer 2025,8.51,63532,150,1583,167867,1122,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Manga,Tuesdays at 00:30 (JST),2025-07-08T00:00:00+00:00,2025-09-23T00:00:00+00:00,https://www.youtube-nocookie.com/embed/rQ119Lo7aF8?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Zero-G|Liber,2,Mainichi Broadcasting System|Kodansha|NBCUniversal Entertainment Japan|Avex Pictures|JR East Marketing & Communications|Saber Links|qooop,7,,0,Comedy,1,Adult Cast|Gag Humor,2,Seinen,1,"Three months have passed since Iori Kitahara began living above Grand Blue, his uncle's scuba diving shop, and joined his university's Diving Club. Alongside the other members, he has spent his days d...",,https://myanimelist.net/anime/59986/Grand_Blue_Season_2
59459,Silent Witch: Chinmoku no Majo no Kakushigoto,Secrets of the Silent Witch,サイレント・ウィッチ 沈黙の魔女の隠しごと,,2025,summer,Summer 2025,8.13,72908,515,1594,167027,1208,13,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Light novel,Saturdays at 00:00 (JST),2025-07-05T00:00:00+00:00,2025-10-05T00:00:00+00:00,https://www.youtube-nocookie.com/embed/0OBF29HoV4A?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Studio Gokumi,1,Aniplex|Movic|Half H.P Studio|Tokyo MX|BS11|Cygames|Kadokawa,7,,0,Fantasy,1,School,1,,0,"In the Kingdom of Ridill lives a genius magician known to be the first person to ever use chantless magic. With this amazing skill, Monica Everett joins the Seven Sages as a hero who can defeat powerf...",,https://myanimelist.net/anime/59459/Silent_Witch__Chinmoku_no_Majo_no_Kakushigoto
60732,Mizu Zokusei no Mahoutsukai,The Water Magician,水属性の魔法使い,The Water Magician: The Central Provinces Arc|Mizu Zokusei no Mahoutsukai Daiichibu: Chuuou Shokoku-hen,2025,summer,Summer 2025,7.08,76576,4168,1656,157388,599,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Light novel,Fridays at 01:28 (JST),2025-07-04T00:00:00+00:00,2025-09-26T00:00:00+00:00,https://www.youtube-nocookie.com/embed/4E6zDMwB1rw?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Typhoon Graphics|WonderLand,2,TBS|KlockWorx|Universal Music Japan|BS11|Crunchyroll|Nichion|TO Books,7,,0,Adventure|Fantasy,2,Isekai|Reincarnation,2,,0,"After getting caught up in an accident, Ryou Mihara is reincarnated in the world of Phi as a water magician. Waking up in a remote forest, he sets out to achieve his ideal slow life by living off mons...",,https://myanimelist.net/anime/60732/Mizu_Zokusei_no_Mahoutsukai
57907,Tate no Yuusha no Nariagari Season 4,The Rising of the Shield Hero Season 4,盾の勇者の成り上がり Season 4,Tate no Yuusha no Nariagari 4th Season|The Rising of the Shield Hero 4th Season,2025,summer,Summer 2025,6.91,47820,4951,1677,155054,531,12,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Light novel,Wednesdays at 21:00 (JST),2025-07-09T00:00:00+00:00,2025-09-24T00:00:00+00:00,https://www.youtube-nocookie.com/embed/XNzt2ER1o4k?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Kinema Citrus,1,Frontier Works|AT-X|Nippon Columbia|NTT Docomo|Glovision|Good Smile Company|Sammy|Crunchyroll|Kadokawa,9,,0,Action|Adventure|Drama|Fantasy,4,Isekai,1,,0,"Aiming to protect Raphtalia from the assassins of Q'ten Lo, Naofumi Iwatani travels with his friends to the eastern isolationist kingdom. On his way, Naofumi stops over in Siltvelt, a kingdom built by...",,https://myanimelist.net/anime/57907/Tate_no_Yuusha_no_Nariagari_Season_4
59205,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,Clevatess,クレバテス-魔獣の王と赤子と屍の勇者-,Clevatess: The King of Devil Beasts|The Baby and the Brave of Undead,2025,summer,Summer 2025,7.85,69654,980,1724,149501,604,12,TV,Finished Airing,False,True,25 min per ep,R - 17+ (violence & profanity),Web manga,Wednesdays at 20:30 (JST),2025-07-02T00:00:00+00:00,2025-09-17T00:00:00+00:00,https://www.youtube-nocookie.com/embed/sX4o5OODMqQ?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Lay-duce,1,AT-X|Sammy|Crunchyroll|BS NTV|Kadokawa|Culture Entertainment|INSPION Edge|Line Digital Frontier,8,,0,Action|Fantasy,2,,0,,0,"Surrounded by four armies of dark beasts, five humanoid races strive to push the known boundaries of the world. Unfortunately, the 13 heroes dispatched to the southern region are easily wiped out by C...",,https://myanimelist.net/anime/59205/Clevatess__Majuu_no_Ou_to_Akago_to_Shikabane_no_Yuusha
58811,Tougen Anki,Tougen Anki,桃源暗鬼,,2025,summer,Summer 2025,6.58,19924,6835,2078,118261,547,,TV,Currently Airing,True,True,24 min,R - 17+ (violence & profanity),Manga,Fridays at 23:00 (JST),2025-07-11T00:00:00+00:00,,https://www.youtube-nocookie.com/embed/fndHzp7EaUw?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Studio Hibari,1,Dentsu|Pony Canyon|Nippon Television Network|Akita Shoten,4,,0,Action|Fantasy,2,Mythology,1,Shounen,1,"Long ago, demon-like creatures known as Oni butchered humans and brought on destruction solely for their own delight. A lone man named Momotarou opposed these gruesome, near-invincible monsters, but t...",Tougen Anki aired on Nippon TV's Friday Anime Night block.,https://myanimelist.net/anime/58811/Tougen_Anki
59095,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,転生したら第七王子だったので、気ままに魔術を極めます 第2期,Dainanaoji|I Was Reincarnated as the 7th Prince|so I Will Perfect My Magic as I Please 2nd Season,2025,summer,Summer 2025,7.65,50613,1509,2113,115959,374,12,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Light novel,Thursdays at 00:00 (JST),2025-07-10T00:00:00+00:00,2025-09-25T00:00:00+00:00,https://www.youtube-nocookie.com/embed/_wN2sC9Pq1c?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Tsumugi Akita Animation Lab,1,TV Tokyo|Lantis|Kodansha|Ai Addiction|Glovision|Crunchyroll|ADK Marketing Solutions|Bandai Namco Filmworks|Bandai Namco Music Live,9,,0,Adventure|Fantasy,2,Reincarnation,1,,0,"Prince Lloyd de Saloum—once a commoner who could never grasp magic—is now blessed with inexhaustible mana and has all the time in the world to master it, as he has no claim to the throne. After master...",,https://myanimelist.net/anime/59095/Tensei_shitara_Dainana_Ouji_Datta_node_Kimama_ni_Majutsu_wo_Kiwamemasu_2nd_Season
59130,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,異世界黙示録マイノグーラ ～破滅の文明で始める世界征服～,,2025,summer,Summer 2025,6.64,43777,6433,2289,101980,329,13,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Light novel,Sundays at 22:30 (JST),2025-07-06T00:00:00+00:00,2025-09-28T00:00:00+00:00,https://www.youtube-nocookie.com/embed/opdYBjcm8oo?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Maho Film,1,Lantis|KlockWorx|Asmik Ace|BS NTV|Micro Magazine Publishing|arma bianca|Bandai Namco Music Live|Happinet Media Marketing,8,,0,Adventure|Fantasy,2,Isekai|Reincarnation,2,,0,"Takuto Ira spent his short life confined to a hospital bed, with the civilization-building game Eternal Nations as his only form of entertainment. His favorite faction within the game—Mynoghra—was inf...",,https://myanimelist.net/anime/59130/Isekai_Mokushiroku_Mynoghra__Hametsu_no_Bunmei_de_Hajimeru_Sekai_Seifuku
59207,"Mikadono Sanshimai wa Angai, Choroi.",Dealing with Mikadono Sisters Is a Breeze,帝乃三姉妹は案外、チョロい。,,2025,summer,Summer 2025,7.66,36215,1460,2581,84742,347,12,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Manga,Thursdays at 00:30 (JST),2025-07-10T00:00:00+00:00,2025-09-25T00:00:00+00:00,https://www.youtube-nocookie.com/embed/m9eFOwi1JOM?enablejsapi=1&wmode=opaque&autoplay=1,False,True,P.A. Works,1,Aniplex|Mainichi Broadcasting System|Movic|Magic Capsule|Tokyo MX|BS11|Shogakukan|JR East Marketing & Communications|arma bianca|Sankyo,10,,0,Comedy|Romance,2,Harem|School,2,Shounen,1,"The Mikadono sisters—Miwa, Niko, and Kazuki—stand at the pinnacle of Saika Academy as its Three Royals, renowned respectively as prodigies in shogi, karate, and theater. Unfortunately, they have drift...",,https://myanimelist.net/anime/59207/Mikadono_Sanshimai_wa_Angai_Choroi
59277,"Kanojo, Okarishimasu 4th Season",Rent-a-Girlfriend Season 4,彼女、お借りします 第4期,Kanokari,2025,summer,Summer 2025,6.17,25437,9317,2640,81452,375,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Manga,Saturdays at 02:23 (JST),2025-07-05T00:00:00+00:00,2025-09-20T00:00:00+00:00,https://www.youtube-nocookie.com/embed/VC226h0ivYg?enablejsapi=1&wmode=opaque&autoplay=1,False,True,TMS Entertainment,1,Mainichi Broadcasting System|Kodansha|DMM.com,3,,0,Comedy|Romance,2,Adult Cast|Harem,2,Shounen,1,"After the success of his crowdfunded movie featuring the woman of his dreams, Chizuru Ichinose, university student Kazuya Kinoshita resumes his life of lies and deception. Although he pretends that he...",,https://myanimelist.net/anime/59277/Kanojo_Okarishimasu_4th_Season
