studio,total_anime,rated_anime,average_score,median_score,highest_score,lowest_score
Studio Blanc.,1,1,6.31,6.31,6.31,6.31
White Fox,1,1,6.33,6.33,6.33,6.33
Nomad,1,1,6.67,6.67,6.67,6.67
Atelier Pontdarc,1,1,7.48,7.48,7.48,7.48
Brain's Base,1,1,6.93,6.93,6.93,6.93
Bakken Record,1,1,6.52,6.52,6.52,6.52
Jumondou,1,1,6.55,6.55,6.55,6.55
Pierrot Films,1,1,6.17,6.17,6.17,6.17
Ziine Studio,1,0,,,,
Tsumupapa,1,0,,,,
Drive,1,1,8.02,8.02,8.02,8.02
Studio Massket,1,1,8.02,8.02,8.02,8.02
WAO World,1,1,7.39,7.39,7.39,7.39
Studio Lings,1,1,7.27,7.27,7.27,7.27
Studio Elle,1,1,6.85,6.85,6.85,6.85
Gekkou,1,1,6.31,6.31,6.31,6.31
Tatsunoko Production,1,1,6.01,6.01,6.01,6.01
Studio PuYUKAI,1,1,7.69,7.69,7.69,7.69
Studio Polon,1,1,6.74,6.74,6.74,6.74
Cyclone Graphics,1,1,6.27,6.27,6.27,6.27
Gonzo,1,1,7.11,7.11,7.11,7.11
Studio Pierrot,1,1,9.0,9,9,9
Studio Signpost,1,1,9.0,9,9,9
Studio Flad,1,1,7.12,7.12,7.12,7.12
Nexus,1,1,6.83,6.83,6.83,6.83
Voil,1,1,6.84,6.84,6.84,6.84
studio maf,1,1,5.99,5.99,5.99,5.99
Yumeta Company,1,0,,,,
Super Normal Studio,1,0,,,,
Studio 4°C,1,0,,,,
Gallop,1,0,,,,
Atoonz,1,0,,,,
Garage Film,1,0,,,,
Fantawild Animation,1,0,,,,
